offset,latA,latB,label
0x6880,-nan,0.0,1
0x6900,-nan,0.0,1
0x6980,-nan,0.0,1
0x6a00,-nan,0.0,1
0x6a80,-nan,0.0,1
0x6b00,-nan,0.0,1
0x6b80,-nan,0.0,1
0x6c00,-nan,0.0,1
0x6c80,-nan,0.0,1
0x6d00,-nan,0.0,1
0x6d80,-nan,0.0,1
0x6e00,-nan,0.0,1
0x6e80,-nan,0.0,1
0x6f00,-nan,0.0,1
0x6f80,-nan,0.0,1
0x7000,-nan,0.0,1
0x7080,-nan,0.0,1
0x7100,-nan,0.0,1
0x7180,-nan,0.0,1
0x7200,-nan,0.0,1
0x7280,-nan,0.0,1
0x7300,-nan,0.0,1
0x7380,-nan,0.0,1
0x7400,-nan,0.0,1
0x7480,-nan,0.0,1
0x7500,-nan,0.0,1
0x7580,-nan,0.0,1
0x7600,-nan,0.0,1
0x7680,-nan,0.0,1
0x7700,-nan,0.0,1
0x7780,-nan,0.0,1
0x7800,-nan,0.0,1
0x7880,-nan,0.0,1
0x7900,-nan,0.0,1
0x7980,-nan,0.0,1
0x7a00,-nan,0.0,1
0x7a80,-nan,0.0,1
0x7b00,-nan,0.0,1
0x7b80,-nan,0.0,1
0x7c00,-nan,0.0,1
0x7c80,-nan,0.0,1
0x7d00,-nan,0.0,1
0x7d80,-nan,0.0,1
0x7e00,-nan,0.0,1
0x7e80,-nan,0.0,1
0x7f00,-nan,0.0,1
0x7f80,-nan,0.0,1
0x8000,-nan,0.0,1
0x8080,-nan,0.0,1
0x8100,-nan,0.0,1
0x8180,-nan,0.0,1
0x8200,-nan,0.0,1
0x8280,-nan,0.0,1
0x8300,-nan,0.0,1
0x8380,-nan,0.0,1
0x8400,-nan,0.0,1
0x8480,-nan,0.0,1
0x8500,-nan,0.0,1
0x8580,-nan,0.0,1
0x8600,-nan,0.0,1
0x8680,-nan,0.0,1
0x8700,-nan,0.0,1
0x8780,-nan,0.0,1
0x8800,-nan,0.0,1
0x8880,-nan,0.0,1
0x8900,-nan,0.0,1
0x8980,-nan,0.0,1
0x8a00,-nan,0.0,1
0x8a80,-nan,0.0,1
0x8b00,-nan,0.0,1
0x8b80,-nan,0.0,1
0x8c00,-nan,0.0,1
0x8c80,-nan,0.0,1
0x8d00,-nan,0.0,1
0x8d80,-nan,0.0,1
0x8e00,-nan,0.0,1
0x8e80,-nan,0.0,1
0x8f00,-nan,0.0,1
0x8f80,-nan,0.0,1
0x9000,-nan,0.0,1
0x9080,-nan,0.0,1
0x9100,-nan,0.0,1
0x9180,-nan,0.0,1
0x9200,-nan,0.0,1
0x9280,-nan,0.0,1
0x9300,-nan,0.0,1
0x9380,-nan,0.0,1
0x9400,-nan,0.0,1
0x9480,-nan,0.0,1
0x9500,-nan,0.0,1
0x9580,-nan,0.0,1
